Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.881591797,0.1035766602,0.6853027344,9.773284912,9.797829654
0.8855896,0.10597229,0.692489624,9.766098022,9.791192092
0.88961792,0.1035766602,0.7116394043,9.756515503,9.782982854
0.893615723,0.1107635498,0.7116394043,9.739761353,9.766352974
0.897613526,0.1083679199,0.7236175537,9.720611572,9.748110346
0.901611328,0.09161376953,0.7236175537,9.706237793,9.733605064
0.905639649,0.08203125,0.7332000732,9.679901123,9.707975959
0.909637452,0.07244873047,0.7332000732,9.646392822,9.674488392
0.913635254,0.07244873047,0.7403717041,9.620056152,9.64877606
0.917633057,0.07005310059,0.7451629639,9.605682373,9.634796787
0.921661377,0.06527709961,0.7499542236,9.581741333,9.611267315
0.92565918,0.06527709961,0.7475585938,9.564987183,9.594377768
0.929656983,0.0676574707,0.7523498535,9.543441772,9.57329038
0.933654786,0.09399414062,0.7523498535,9.517105103,9.547259017
0.937683106,0.10597229,0.7499542236,9.500335693,9.530479513
0.941680909,0.13230896,0.766708374,9.483581543,9.515443567
0.945678711,0.1394958496,0.7810821533,9.466827393,9.500019437
0.949707032,0.1394958496,0.7834777832,9.469207764,9.50258871
0.953704834,0.1371002197,0.7882537842,9.462036133,9.495802666
0.957702637,0.1275177002,0.7954406738,9.471603394,9.505801254
0.96170044,0.1083679199,0.8098144531,9.459640503,9.494858688
0.965698243,0.08442687988,0.8145904541,9.473999023,9.509329261
0.969726563,0.07244873047,0.8193817139,9.485977173,9.521575402
0.973724366,0.05090332031,0.816986084,9.493148804,9.528375078
0.977722168,0.0365447998,0.8289642334,9.512313843,9.548436095
0.981719971,0.02456665039,0.8385314941,9.533859253,9.570695421
0.985748291,0.01977539062,0.8505096436,9.550613403,9.588429178
0.989746094,0.01499938965,0.8529052734,9.560195923,9.598177872
0.993743897,0.02456665039,0.862487793,9.562591553,9.601439784
0.9977417,0.04132080078,0.8600921631,9.564987183,9.603668348
1.00177002,0.0676574707,0.8600921631,9.574554443,9.613346392
1.005767823,0.07244873047,0.8553009033,9.584136963,9.622498105
1.009765625,0.1083679199,0.862487793,9.591323853,9.630634561
1.013763428,0.1131591797,0.8553009033,9.586532593,9.625276712
1.017791748,0.1203308105,0.8576965332,9.588928223,9.627962781
1.021789551,0.1275177002,0.8553009033,9.572158813,9.611140658
1.025787354,0.1299133301,0.862487793,9.548217773,9.587972951
1.029785157,0.1275177002,0.862487793,9.538650513,9.578413207
1.033813477,0.1203308105,0.8648681641,9.524276733,9.564221021
1.03781128,0.1107635498,0.8720550537,9.519485474,9.559987043
1.041809082,0.10597229,0.886428833,9.517105103,9.558884649
1.045806885,0.09399414062,0.8959960938,9.509918213,9.552496444
1.049835205,0.08442687988,0.9007873535,9.502731323,9.545703136
1.053833008,0.08442687988,0.9055786133,9.497940063,9.541387005
1.057830811,0.09399414062,0.9031829834,9.485977173,9.529340865
1.061828614,0.1203308105,0.9031829834,9.473999023,9.517713827
1.065826416,0.1418914795,0.8959960938,9.476394653,9.519716268
1.069854737,0.1658325195,0.891204834,9.478790283,9.522038212
1.073852539,0.1777954102,0.8959960938,9.473999023,9.517934529
1.077850342,0.1849822998,0.891204834,9.481185913,9.524775631
1.081848145,0.18019104,0.8983917236,9.502731323,9.546804654
1.085876465,0.1538543701,0.910369873,9.529067993,9.573692145
1.089874268,0.1251220703,0.9199371338,9.555404663,9.600400936
1.093872071,0.1203308105,0.9295196533,9.579345703,9.62508963
1.097869873,0.1131591797,0.9414825439,9.593719482,9.640469277
1.101898194,0.1083679199,0.9414825439,9.612869263,9.659471437
1.105895996,0.1131591797,0.9486694336,9.620056152,9.66738119
1.109893799,0.1083679199,0.9462738037,9.629623413,9.676612258
1.113891602,0.1107635498,0.9391021729,9.634414673,9.680709041
1.117919922,0.1107635498,0.9438781738,9.632019043,9.67878946
1.121917725,0.1107635498,0.9510650635,9.624832153,9.672341356
1.125915528,0.1155548096,0.9582519531,9.617660522,9.665970911
1.12991333,0.1155548096,0.9582519531,9.603286743,9.651669078
1.133941651,0.1179351807,0.9678192139,9.593719482,9.643134151
1.137939453,0.1179351807,0.9702148438,9.581741333,9.631458484
1.141937256,0.1203308105,0.9750061035,9.574554443,9.624822554
1.145935059,0.1155548096,0.9750061035,9.576950073,9.627147164
1.149932862,0.09878540039,0.9797973633,9.576950073,9.627446917
1.153961182,0.09878540039,0.9869842529,9.569763184,9.62103237
1.157958985,0.09638977051,0.9941558838,9.564987183,9.616996242
1.161956787,0.09161376953,0.984588623,9.562591553,9.613582321
1.16595459,0.08442687988,0.9893798828,9.562591553,9.614008407
1.169982911,0.07244873047,0.9965515137,9.572158813,9.624166878
1.173980713,0.07484436035,1.006134033,9.584136963,9.637094411
1.177978516,0.08442687988,1.010925293,9.591323853,9.644821983
1.181976319,0.07484436035,1.010925293,9.600891113,9.654257185
1.186004639,0.07963562012,1.015716553,9.620056152,9.673856642
1.190002442,0.08682250977,1.015716553,9.634414673,9.688197167
1.194000245,0.08442687988,1.015716553,9.634414673,9.688175995
1.197998047,0.08442687988,1.025283813,9.636810303,9.691565797
1.202026368,0.07723999023,1.022888184,9.648773193,9.703148478
1.20602417,0.07244873047,1.022888184,9.667938232,9.722169445
1.210021973,0.0676574707,1.032470703,9.689483643,9.744571132
1.214019776,0.05809020996,1.039657593,9.718215942,9.773841798
1.218048096,0.04611206055,1.044433594,9.737365723,9.793327273
1.222045899,0.01020812988,1.063598633,9.770889282,9.828612497
1.226043702,-0.02571105957,1.097106934,9.802001953,9.863242214
1.230041504,-0.05923461914,1.113876343,9.835525513,9.898575219
1.234069825,-0.04965209961,1.106689453,9.840316772,9.902477521
1.238067627,0.0006256103516,1.082748413,9.828338623,9.887799786
1.24206543,0.07005310059,1.068374634,9.804397583,9.862684409
